PING 172.217.31.206 (172.217.31.206) 56(84) bytes of data.
64 bytes from 172.217.31.206: icmp_seq=1 ttl=128 time=90.8 ms
64 bytes from 172.217.31.206: icmp_seq=2 ttl=128 time=76.2 ms
64 bytes from 172.217.31.206: icmp_seq=3 ttl=128 time=77.3 ms
64 bytes from 172.217.31.206: icmp_seq=4 ttl=128 time=77.0 ms
64 bytes from 172.217.31.206: icmp_seq=5 ttl=128 time=82.3 ms
64 bytes from 172.217.31.206: icmp_seq=6 ttl=128 time=76.3 ms
64 bytes from 172.217.31.206: icmp_seq=7 ttl=128 time=80.0 ms
64 bytes from 172.217.31.206: icmp_seq=8 ttl=128 time=83.2 ms
64 bytes from 172.217.31.206: icmp_seq=9 ttl=128 time=77.6 ms
64 bytes from 172.217.31.206: icmp_seq=10 ttl=128 time=76.6 ms
64 bytes from 172.217.31.206: icmp_seq=11 ttl=128 time=76.3 ms
64 bytes from 172.217.31.206: icmp_seq=12 ttl=128 time=77.2 ms
64 bytes from 172.217.31.206: icmp_seq=13 ttl=128 time=77.9 ms
64 bytes from 172.217.31.206: icmp_seq=14 ttl=128 time=80.0 ms
64 bytes from 172.217.31.206: icmp_seq=15 ttl=128 time=77.7 ms
64 bytes from 172.217.31.206: icmp_seq=16 ttl=128 time=79.1 ms
64 bytes from 172.217.31.206: icmp_seq=17 ttl=128 time=80.1 ms
64 bytes from 172.217.31.206: icmp_seq=18 ttl=128 time=78.4 ms
64 bytes from 172.217.31.206: icmp_seq=19 ttl=128 time=77.2 ms
64 bytes from 172.217.31.206: icmp_seq=20 ttl=128 time=78.1 ms
64 bytes from 172.217.31.206: icmp_seq=21 ttl=128 time=77.7 ms
64 bytes from 172.217.31.206: icmp_seq=22 ttl=128 time=78.3 ms
64 bytes from 172.217.31.206: icmp_seq=23 ttl=128 time=78.7 ms
64 bytes from 172.217.31.206: icmp_seq=24 ttl=128 time=80.4 ms
64 bytes from 172.217.31.206: icmp_seq=25 ttl=128 time=80.2 ms
64 bytes from 172.217.31.206: icmp_seq=26 ttl=128 time=79.5 ms
64 bytes from 172.217.31.206: icmp_seq=27 ttl=128 time=79.0 ms
64 bytes from 172.217.31.206: icmp_seq=28 ttl=128 time=79.1 ms
