PATTERN: 0xff00
PING 172.217.31.206 (172.217.31.206) 56(84) bytes of data.
64 bytes from 172.217.31.206: icmp_seq=1 ttl=128 time=69.1 ms
64 bytes from 172.217.31.206: icmp_seq=2 ttl=128 time=70.2 ms
64 bytes from 172.217.31.206: icmp_seq=3 ttl=128 time=70.6 ms
64 bytes from 172.217.31.206: icmp_seq=4 ttl=128 time=68.3 ms
64 bytes from 172.217.31.206: icmp_seq=5 ttl=128 time=70.4 ms
64 bytes from 172.217.31.206: icmp_seq=6 ttl=128 time=67.9 ms
64 bytes from 172.217.31.206: icmp_seq=7 ttl=128 time=69.7 ms
64 bytes from 172.217.31.206: icmp_seq=8 ttl=128 time=69.5 ms
64 bytes from 172.217.31.206: icmp_seq=9 ttl=128 time=68.3 ms
64 bytes from 172.217.31.206: icmp_seq=10 ttl=128 time=67.2 ms
64 bytes from 172.217.31.206: icmp_seq=11 ttl=128 time=67.9 ms
64 bytes from 172.217.31.206: icmp_seq=12 ttl=128 time=79.1 ms
64 bytes from 172.217.31.206: icmp_seq=13 ttl=128 time=69.4 ms
64 bytes from 172.217.31.206: icmp_seq=14 ttl=128 time=69.5 ms
64 bytes from 172.217.31.206: icmp_seq=15 ttl=128 time=70.3 ms
64 bytes from 172.217.31.206: icmp_seq=16 ttl=128 time=67.3 ms
64 bytes from 172.217.31.206: icmp_seq=17 ttl=128 time=74.2 ms
64 bytes from 172.217.31.206: icmp_seq=18 ttl=128 time=76.7 ms
64 bytes from 172.217.31.206: icmp_seq=19 ttl=128 time=72.5 ms
64 bytes from 172.217.31.206: icmp_seq=20 ttl=128 time=69.2 ms
64 bytes from 172.217.31.206: icmp_seq=21 ttl=128 time=68.6 ms
64 bytes from 172.217.31.206: icmp_seq=22 ttl=128 time=68.5 ms
64 bytes from 172.217.31.206: icmp_seq=23 ttl=128 time=68.0 ms
64 bytes from 172.217.31.206: icmp_seq=24 ttl=128 time=67.5 ms
64 bytes from 172.217.31.206: icmp_seq=25 ttl=128 time=817 ms
64 bytes from 172.217.31.206: icmp_seq=26 ttl=128 time=83.0 ms
64 bytes from 172.217.31.206: icmp_seq=27 ttl=128 time=68.1 ms
64 bytes from 172.217.31.206: icmp_seq=28 ttl=128 time=69.1 ms
64 bytes from 172.217.31.206: icmp_seq=29 ttl=128 time=68.6 ms
64 bytes from 172.217.31.206: icmp_seq=30 ttl=128 time=72.5 ms
64 bytes from 172.217.31.206: icmp_seq=31 ttl=128 time=68.0 ms
64 bytes from 172.217.31.206: icmp_seq=32 ttl=128 time=67.4 ms
64 bytes from 172.217.31.206: icmp_seq=33 ttl=128 time=68.4 ms
64 bytes from 172.217.31.206: icmp_seq=34 ttl=128 time=68.3 ms
64 bytes from 172.217.31.206: icmp_seq=35 ttl=128 time=68.3 ms
64 bytes from 172.217.31.206: icmp_seq=36 ttl=128 time=72.0 ms
64 bytes from 172.217.31.206: icmp_seq=37 ttl=128 time=68.0 ms
64 bytes from 172.217.31.206: icmp_seq=38 ttl=128 time=72.4 ms
64 bytes from 172.217.31.206: icmp_seq=39 ttl=128 time=75.9 ms
64 bytes from 172.217.31.206: icmp_seq=40 ttl=128 time=68.2 ms
64 bytes from 172.217.31.206: icmp_seq=41 ttl=128 time=67.9 ms
64 bytes from 172.217.31.206: icmp_seq=42 ttl=128 time=69.7 ms
64 bytes from 172.217.31.206: icmp_seq=43 ttl=128 time=75.2 ms
64 bytes from 172.217.31.206: icmp_seq=44 ttl=128 time=69.0 ms
64 bytes from 172.217.31.206: icmp_seq=46 ttl=128 time=68.6 ms
64 bytes from 172.217.31.206: icmp_seq=47 ttl=128 time=70.5 ms
64 bytes from 172.217.31.206: icmp_seq=48 ttl=128 time=69.7 ms
64 bytes from 172.217.31.206: icmp_seq=49 ttl=128 time=69.0 ms
64 bytes from 172.217.31.206: icmp_seq=50 ttl=128 time=70.3 ms
64 bytes from 172.217.31.206: icmp_seq=51 ttl=128 time=68.6 ms
64 bytes from 172.217.31.206: icmp_seq=52 ttl=128 time=68.7 ms
64 bytes from 172.217.31.206: icmp_seq=53 ttl=128 time=72.1 ms
64 bytes from 172.217.31.206: icmp_seq=54 ttl=128 time=68.1 ms
64 bytes from 172.217.31.206: icmp_seq=55 ttl=128 time=67.6 ms
64 bytes from 172.217.31.206: icmp_seq=56 ttl=128 time=68.9 ms
64 bytes from 172.217.31.206: icmp_seq=57 ttl=128 time=68.1 ms
64 bytes from 172.217.31.206: icmp_seq=58 ttl=128 time=68.1 ms
64 bytes from 172.217.31.206: icmp_seq=59 ttl=128 time=71.8 ms
64 bytes from 172.217.31.206: icmp_seq=60 ttl=128 time=69.2 ms
64 bytes from 172.217.31.206: icmp_seq=61 ttl=128 time=69.2 ms
64 bytes from 172.217.31.206: icmp_seq=62 ttl=128 time=70.9 ms
64 bytes from 172.217.31.206: icmp_seq=63 ttl=128 time=67.8 ms
64 bytes from 172.217.31.206: icmp_seq=64 ttl=128 time=70.5 ms
64 bytes from 172.217.31.206: icmp_seq=65 ttl=128 time=72.8 ms
64 bytes from 172.217.31.206: icmp_seq=66 ttl=128 time=69.7 ms
64 bytes from 172.217.31.206: icmp_seq=67 ttl=128 time=73.4 ms
64 bytes from 172.217.31.206: icmp_seq=68 ttl=128 time=70.2 ms
64 bytes from 172.217.31.206: icmp_seq=71 ttl=128 time=68.4 ms
64 bytes from 172.217.31.206: icmp_seq=72 ttl=128 time=68.0 ms
64 bytes from 172.217.31.206: icmp_seq=73 ttl=128 time=79.1 ms
64 bytes from 172.217.31.206: icmp_seq=74 ttl=128 time=90.2 ms
64 bytes from 172.217.31.206: icmp_seq=75 ttl=128 time=67.4 ms
64 bytes from 172.217.31.206: icmp_seq=76 ttl=128 time=70.5 ms
64 bytes from 172.217.31.206: icmp_seq=77 ttl=128 time=70.2 ms
64 bytes from 172.217.31.206: icmp_seq=78 ttl=128 time=69.2 ms
